month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2011-02,2,Category C,287,282,368,29011
2011-02,2,Category D,330,294,461,2001
2011-02,2,Category E,336,335,558,62001
2011-03,1,Category A,532,530,875,42600
2011-03,1,Category B,424,423,667,61894
2011-03,1,Category C,276,276,360,30001
2011-03,1,Category D,325,310,490,
2011-03,1,Category E,336,324,574,62010
2011-03,2,Category A,527,472,927,43813
2011-03,2,Category B,424,424,579,57002
2011-03,2,Category C,281,279,371,29690
2011-03,2,Category D,362,362,429,2534
2011-03,2,Category E,330,330,458,59073
2011-04,1,Category A,512,511,813,43212
2011-04,1,Category B,425,410,542,55001
2011-04,1,Category C,276,275,316,28189
2011-04,1,Category D,340,335,500,2490
2011-04,1,Category E,341,340,454,57100
2011-04,2,Category A,565,552,964,44000
2011-04,2,Category B,423,422,627,56801
2011-04,2,Category C,277,269,346,23900
2011-04,2,Category D,326,326,478,2502
2011-04,2,Category E,330,329,484,56001
2011-05,1,Category A,511,511,944,44790
2011-05,1,Category B,439,439,650,56011
2011-05,1,Category C,277,277,366,21889
2011-05,1,Category D,330,328,481,2253
2011-05,1,Category E,330,321,498,56490
2011-05,2,Category A,523,521,760,46989
2011-05,2,Category B,424,424,564,56300
2011-05,2,Category C,283,279,381,22989
2011-05,2,Category D,326,324,486,2013
2011-05,2,Category E,331,322,470,56889
2011-06,1,Category A,510,506,880,53390
2011-06,1,Category B,424,403,759,63000
2011-06,1,Category C,276,276,457,29006
2011-06,1,Category D,327,327,507,2491
2011-06,1,Category E,338,295,530,62000
2011-06,2,Category A,512,512,715,50244
2011-06,2,Category B,423,410,684,67700
2011-06,2,Category C,279,270,391,31089
2011-06,2,Category D,328,322,367,2290
2011-06,2,Category E,339,334,468,65490
2011-07,1,Category A,514,497,839,55989
2011-07,1,Category B,445,444,728,68501
2011-07,1,Category C,276,276,375,32590
2011-07,1,Category D,325,323,369,2360
2011-07,1,Category E,372,342,509,68811
2011-07,2,Category A,510,501,776,56002
2011-07,2,Category B,436,436,626,72501
2011-07,2,Category C,284,281,393,34502
2011-07,2,Category D,,332,496,2012
2011-07,2,Category E,335,328,459,74490
2011-08,1,Category A,566,566,1034,48801
2011-08,1,Category B,354,349,469,70890
2011-08,1,Category C,241,239,383,34009
2011-08,1,Category D,390,390,470,1890
2011-08,1,Category E,360,360,488,70117
2011-08,2,Category A,557,557,927,49301
2011-08,2,Category B,353,353,527,65521
2011-08,2,Category C,245,237,367,32289
2011-08,2,Category D,387,382,471,1999
2011-08,2,Category E,337,335,516,67000
2011-09,1,Category A,548,547,794,51000
2011-09,1,Category B,359,356,496,63002
2011-09,1,Category C,243,236,328,31900
2011-09,1,Category D,388,382,532,2339
2011-09,1,Category E,330,329,466,65589
2011-09,2,Category A,548,531,951,48006
2011-09,2,Category B,353,353,469,64889
2011-09,2,Category C,250,248,325,30089
2011-09,2,Category D,392,392,492,2109
2011-09,2,Category E,332,332,449,62502
2011-10,1,Category A,549,549,793,50289
2011-10,1,Category B,356,353,524,63600
2011-10,1,Category C,249,247,348,32801
2011-10,1,Category D,394,394,486,2078
2011-10,1,Category E,331,331,452,65058
2011-10,2,Category A,565,554,873,56112
2011-10,2,Category B,353,353,633,75889
2011-10,2,Category C,244,229,354,37011
2011-10,2,Category D,387,380,486,2091
2011-10,2,Category E,330,306,518,73600
2011-11,1,Category A,548,547,766,55997
2011-11,1,Category B,356,355,551,77000
2011-11,1,Category C,244,244,365,40803
2011-11,1,Category D,388,359,429,2012
2011-11,1,Category E,330,311,507,78001
2011-11,2,Category A,559,541,756,54887
2011-11,2,Category B,353,338,518,77340
2011-11,2,Category C,256,248,335,40189
2011-11,2,Category D,394,389,469,1889
2011-11,2,Category E,355,352,496,75889
2011-12,1,Category A,549,543,781,52392
2011-12,1,Category B,354,351,474,72350
2011-12,1,Category C,242,242,334,40009
2011-12,1,Category D,416,415,451,1902
2011-12,1,Category E,349,335,489,74340
2011-12,2,Category A,566,457,878,50001
2011-12,2,Category B,368,368,464,70003
2011-12,2,Category C,249,249,361,39589
2011-12,2,Category D,392,386,456,1481
2011-12,2,Category E,334,285,521,71000
2012-01,1,Category A,554,554,901,46889
2012-01,1,Category B,356,356,511,65801
2012-01,1,Category C,242,239,357,38699
2012-01,1,Category D,388,386,434,1682
2012-01,1,Category E,344,341,530,65700
2012-01,2,Category A,657,652,903,48112
2012-01,2,Category B,353,351,537,67889
2012-01,2,Category C,241,236,405,44001
2012-01,2,Category D,393,390,517,1552
2012-01,2,Category E,380,375,538,67101
2012-02,1,Category A,619,571,1058,52809
2012-02,1,Category B,350,346,635,73890
2012-02,1,Category C,162,158,307,49801
2012-02,1,Category D,412,409,512,1802
2012-02,1,Category E,312,312,425,73801
2012-02,2,Category A,624,607,1017,57009
2012-02,2,Category B,351,348,580,78189
2012-02,2,Category C,164,149,248,52004
2012-02,2,Category D,413,389,509,2012
2012-02,2,Category E,314,296,507,78000
2012-03,1,Category A,667,649,912,56551
2012-03,1,Category B,354,352,626,79304
2012-03,1,Category C,163,159,247,50009
2012-03,1,Category D,413,407,474,1490
2012-03,1,Category E,309,309,492,76881
2012-03,2,Category A,636,626,1067,56501
2012-03,2,Category B,352,352,529,82003
2012-03,2,Category C,174,174,241,51511
2012-03,2,Category D,434,433,584,2000
2012-03,2,Category E,327,327,449,80101
2012-04,1,Category A,637,615,960,58501
2012-04,1,Category B,352,348,483,83700
2012-04,1,Category C,163,163,222,53989
2012-04,1,Category D,416,416,542,1896
2012-04,1,Category E,309,307,413,84590
2012-04,2,Category A,629,618,1011,64201
2012-04,2,Category B,349,349,563,91000
2012-04,2,Category C,160,158,261,57589
2012-04,2,Category D,411,411,526,1924
2012-04,2,Category E,308,295,447,92010
2012-05,1,Category A,641,593,822,62600
2012-05,1,Category B,354,354,545,92050
2012-05,1,Category C,159,159,218,58553
2012-05,1,Category D,410,410,514,2021
2012-05,1,Category E,311,304,457,88990
2012-05,2,Category A,630,617,945,58001
2012-05,2,Category B,349,349,482,85216
2012-05,2,Category C,162,161,205,57106
2012-05,2,Category D,410,410,520,1890
2012-05,2,Category E,321,312,544,86889
2012-06,1,Category A,668,647,1004,59003
2012-06,1,Category B,350,342,490,83000
2012-06,1,Category C,159,155,258,54522
2012-06,1,Category D,410,368,569,1912
2012-06,1,Category E,315,311,526,85889
2012-06,2,Category A,633,577,920,59004
2012-06,2,Category B,349,346,477,85400
2012-06,2,Category C,161,158,242,54502
2012-06,2,Category D,410,393,517,1712
2012-06,2,Category E,317,315,427,84389
2012-07,1,Category A,641,613,872,59421
2012-07,1,Category B,358,358,459,82289
2012-07,1,Category C,164,161,234,55556
2012-07,1,Category D,451,442,592,1760
2012-07,1,Category E,312,295,410,86999
2012-07,2,Category A,676,669,911,68656
2012-07,2,Category B,353,352,549,90501
2012-07,2,Category C,163,162,222,55805
2012-07,2,Category D,426,425,531,1859
2012-07,2,Category E,310,306,429,92700
2012-08,1,Category A,421,415,724,73501
2012-08,1,Category B,350,345,489,94502
2012-08,1,Category C,183,180,241,57001
2012-08,1,Category D,456,453,659,2081
2012-08,1,Category E,260,258,354,95034
2012-08,2,Category A,400,391,530,66889
2012-08,2,Category B,351,351,532,88002
2012-08,2,Category C,181,178,261,59334
2012-08,2,Category D,448,444,535,2013
2012-08,2,Category E,247,238,301,93990
2012-09,1,Category A,399,391,518,68000
2012-09,1,Category B,355,355,466,80191
2012-09,1,Category C,183,177,269,57334
2012-09,1,Category D,450,450,575,1801
2012-09,1,Category E,245,245,349,87999
2012-09,2,Category A,402,402,486,63000
2012-09,2,Category B,351,349,523,88500
2012-09,2,Category C,182,181,230,57809
2012-09,2,Category D,450,434,566,1852
2012-09,2,Category E,252,245,421,89990
2012-10,1,Category A,401,399,506,69000
2012-10,1,Category B,350,350,414,80001
2012-10,1,Category C,186,185,221,56001
2012-10,1,Category D,447,413,631,1912
2012-10,1,Category E,243,242,312,86889
2012-10,2,Category A,393,390,509,71001
2012-10,2,Category B,353,353,540,85801
2012-10,2,Category C,180,180,229,57889
2012-10,2,Category D,463,462,605,1920
2012-10,2,Category E,249,233,371,87000
2012-11,1,Category A,395,393,621,77201
2012-11,1,Category B,350,350,573,92400
2012-11,1,Category C,181,180,268,59111
2012-11,1,Category D,481,478,580,1959
2012-11,1,Category E,244,241,401,92100
2012-11,2,Category A,396,393,540,77291
2012-11,2,Category B,351,342,487,93004
2012-11,2,Category C,179,177,254,60235
2012-11,2,Category D,448,441,523,1689
2012-11,2,Category E,258,250,352,93990
2012-12,1,Category A,395,378,482,78523
2012-12,1,Category B,350,337,493,90200
2012-12,1,Category C,181,168,281,63035
2012-12,1,Category D,450,435,602,1612
2012-12,1,Category E,246,233,329,97000
2012-12,2,Category A,395,378,499,81889
2012-12,2,Category B,360,360,478,93501
2012-12,2,Category C,182,178,242,62201
2012-12,2,Category D,454,440,522,1701
2012-12,2,Category E,250,241,406,95990
2013-01,1,Category A,410,409,555,92100
2013-01,1,Category B,363,363,470,96210
2013-01,1,Category C,193,188,244,60000
2013-01,1,Category D,462,462,523,1933
2013-01,1,Category E,256,256,393,96101
2013-01,2,Category A,409,409,489,91010
2013-01,2,Category B,351,351,452,95501
2013-01,2,Category C,184,184,262,57051
2013-01,2,Category D,461,461,530,1781
2013-01,2,Category E,251,248,344,97889
2013-02,1,Category A,335,333,418,87109
2013-02,1,Category B,302,278,431,92901
2013-02,1,Category C,230,230,316,54989
2013-02,1,Category D,506,502,637,1782
2013-02,1,Category E,238,221,295,94890
2013-02,2,Category A,333,329,427,78301
2013-02,2,Category B,303,299,409,92667
2013-02,2,Category C,225,225,285,53489
2013-02,2,Category D,506,469,589,1512
2013-02,2,Category E,241,200,370,91910
2013-03,1,Category A,336,329,1180,74689
2013-03,1,Category B,326,326,1028,58090
